Krok czasowy;Powierzchnia lewa;Powierzchnia prawa
641;33,85;231,86
642;33,87;231,91
643;33,89;231,96
644;33,91;232,01
645;33,93;232,05
646;33,96;232,10
647;33,98;232,15
648;34,00;232,20
649;34,02;232,24
650;34,04;232,29
651;34,06;232,34
652;34,08;232,38
653;34,10;232,43
654;34,13;232,47
655;34,15;232,52
656;34,17;232,56
657;34,19;232,61
658;34,21;232,65
659;34,23;232,70
660;34,25;232,74
661;34,27;232,79
662;34,29;232,83
663;34,32;232,87
664;34,34;232,92
665;34,36;232,96
666;34,38;233,00
667;34,40;233,05
668;34,42;233,09
669;34,44;233,13
670;34,46;233,18
671;34,48;233,22
672;34,50;233,26
673;34,53;233,30
674;34,55;233,34
675;34,57;233,38
676;34,59;233,43
677;34,61;233,47
678;34,63;233,51
679;34,65;233,55
680;34,67;233,59
681;34,69;233,63
682;34,71;233,67
683;34,73;233,71
684;34,75;233,75
685;34,77;233,79
686;34,79;233,83
687;34,82;233,87
688;34,84;233,90
689;34,86;233,94
690;34,88;233,98
691;34,90;234,02
692;34,92;234,06
693;34,94;234,10
694;34,96;234,13
695;34,98;234,17
696;35,00;234,21
697;35,02;234,25
698;35,04;234,28
699;35,06;234,32
700;35,08;234,36
701;35,10;234,39
702;35,12;234,43
703;35,14;234,47
704;35,16;234,50
705;35,18;234,54
706;35,20;234,57
707;35,22;234,61
708;35,24;234,65
709;35,26;234,68
710;35,28;234,72
711;35,30;234,75
712;35,32;234,79
713;35,34;234,82
714;35,36;234,85
715;35,38;234,89
716;35,40;234,92
717;35,42;234,96
718;35,44;234,99
719;35,46;235,02
720;35,48;235,06
721;35,50;235,09
722;35,52;235,12
723;35,54;235,16
724;35,56;235,19
725;35,58;235,22
726;35,60;235,26
727;35,62;235,29
728;35,64;235,32
729;35,66;235,35
730;35,68;235,38
731;35,70;235,42
732;35,72;235,45
733;35,74;235,48
734;35,76;235,51
735;35,78;235,54
736;35,80;235,57
737;35,82;235,60
738;35,84;235,63
739;35,86;235,66
740;35,88;235,70
741;35,90;235,73
742;35,92;235,76
743;35,94;235,79
744;35,96;235,82
745;35,98;235,85
746;36,00;235,88
747;36,02;235,90
748;36,03;235,93
749;36,05;235,96
750;36,07;235,99
751;36,09;236,02
752;36,11;236,05
753;36,13;236,08
754;36,15;236,11
755;36,17;236,14
756;36,19;236,16
757;36,21;236,19
758;36,23;236,22
759;36,25;236,25
760;36,27;236,28
761;36,28;236,30
762;36,30;236,33
763;36,32;236,36
764;36,34;236,39
765;36,36;236,41
766;36,38;236,44
767;36,40;236,47
768;36,42;236,49
769;36,44;236,52
770;36,46;236,55
771;36,48;236,57
772;36,49;236,60
773;36,51;236,63
774;36,53;236,65
775;36,55;236,68
776;36,57;236,70
777;36,59;236,73
778;36,61;236,75
779;36,63;236,78
780;36,64;236,80
781;36,66;236,83
782;36,68;236,85
783;36,70;236,88
784;36,72;236,90
785;36,74;236,93
786;36,76;236,95
787;36,78;236,98
788;36,79;237,00
789;36,81;237,03
790;36,83;237,05
791;36,85;237,07
792;36,87;237,10
793;36,89;237,12
794;36,91;237,15
795;36,92;237,17
796;36,94;237,19
797;36,96;237,22
798;36,98;237,24
799;37,00;237,26
800;37,02;237,29
801;37,03;237,31
802;37,05;237,33
803;37,07;237,35
804;37,09;237,38
805;37,11;237,40
806;37,13;237,42
807;37,14;237,44
808;37,16;237,47
809;37,18;237,49
810;37,20;237,51
811;37,22;237,53
812;37,23;237,55
813;37,25;237,58
814;37,27;237,60
815;37,29;237,62
816;37,31;237,64
817;37,33;237,66
818;37,34;237,68
819;37,36;237,70
820;37,38;237,72
821;37,40;237,75
822;37,42;237,77
823;37,43;237,79
824;37,45;237,81
825;37,47;237,83
826;37,49;237,85
827;37,50;237,87
828;37,52;237,89
829;37,54;237,91
830;37,56;237,93
831;37,58;237,95
832;37,59;237,97
833;37,61;237,99
834;37,63;238,01
835;37,65;238,03
836;37,66;238,05
837;37,68;238,07
838;37,70;238,09
839;37,72;238,11
840;37,73;238,12
841;37,75;238,14
842;37,77;238,16
843;37,79;238,18
844;37,80;238,20
845;37,82;238,22
846;37,84;238,24
847;37,86;238,26
848;37,87;238,27
849;37,89;238,29
850;37,91;238,31
851;37,93;238,33
852;37,94;238,35
853;37,96;238,36
854;37,98;238,38
855;38,00;238,40
856;38,01;238,42
857;38,03;238,44
858;38,05;238,45
859;38,07;238,47
860;38,08;238,49
861;38,10;238,51
862;38,12;238,52
863;38,13;238,54
864;38,15;238,56
865;38,17;238,57
866;38,19;238,59
867;38,20;238,61
868;38,22;238,62
869;38,24;238,64
870;38,25;238,66
871;38,27;238,67
872;38,29;238,69
873;38,30;238,71
874;38,32;238,72
875;38,34;238,74
876;38,36;238,76
877;38,37;238,77
878;38,39;238,79
879;38,41;238,80
880;38,42;238,82
881;38,44;238,84
882;38,46;238,85
883;38,47;238,87
884;38,49;238,88
885;38,51;238,90
886;38,52;238,91
887;38,54;238,93
888;38,56;238,94
889;38,57;238,96
890;38,59;238,98
891;38,61;238,99
892;38,62;239,01
893;38,64;239,02
894;38,66;239,04
895;38,67;239,05
896;38,69;239,06
897;38,71;239,08
898;38,72;239,09
899;38,74;239,11
900;38,76;239,12
901;38,77;239,14
902;38,79;239,15
903;38,80;239,17
904;38,82;239,18
905;38,84;239,19
906;38,85;239,21
907;38,87;239,22
908;38,89;239,24
909;38,90;239,25
910;38,92;239,26
911;38,93;239,28
912;38,95;239,29
913;38,97;239,31
914;38,98;239,32
915;39,00;239,33
916;39,02;239,35
917;39,03;239,36
918;39,05;239,37
919;39,06;239,39
920;39,08;239,40
921;39,10;239,41
922;39,11;239,43
923;39,13;239,44
924;39,14;239,45
925;39,16;239,46
926;39,18;239,48
927;39,19;239,49
928;39,21;239,50
929;39,22;239,52
930;39,24;239,53
931;39,26;239,54
932;39,27;239,55
933;39,29;239,57
934;39,30;239,58
935;39,32;239,59
936;39,33;239,60
937;39,35;239,61
938;39,37;239,63
939;39,38;239,64
940;39,40;239,65
941;39,41;239,66
942;39,43;239,68
943;39,44;239,69
944;39,46;239,70
945;39,48;239,71
946;39,49;239,72
947;39,51;239,73
948;39,52;239,75
949;39,54;239,76
950;39,55;239,77
951;39,57;239,78
952;39,58;239,79
953;39,60;239,80
954;39,62;239,81
955;39,63;239,83
956;39,65;239,84
957;39,66;239,85
958;39,68;239,86
959;39,69;239,87
960;39,71;239,88
961;39,72;239,89
962;39,74;239,90
963;39,75;239,91
964;39,77;239,92
965;39,78;239,94
966;39,80;239,95
967;39,81;239,96
968;39,83;239,97
969;39,85;239,98
970;39,86;239,99
971;39,88;240,00
972;39,89;240,01
973;39,91;240,02
974;39,92;240,03
975;39,94;240,04
976;39,95;240,05
977;39,97;240,06
978;39,98;240,07
979;40,00;240,08
980;40,01;240,09
981;40,03;240,10
982;40,04;240,11
983;40,06;240,12
984;40,07;240,13
985;40,09;240,14
986;40,10;240,15
987;40,12;240,16
988;40,13;240,17
989;40,15;240,18
990;40,16;240,19
991;40,17;240,20
992;40,19;240,21
993;40,20;240,22
994;40,22;240,23
995;40,23;240,24
996;40,25;240,25
997;40,26;240,26
998;40,28;240,26
999;40,29;240,27
1000;40,31;240,28
1001;40,32;240,29
1002;40,34;240,30
1003;40,35;240,31
1004;40,37;240,32
1005;40,38;240,33
1006;40,39;240,34
1007;40,41;240,35
1008;40,42;240,35
1009;40,44;240,36
1010;40,45;240,37
1011;40,47;240,38
1012;40,48;240,39
1013;40,50;240,40
1014;40,51;240,41
1015;40,52;240,42
1016;40,54;240,42
1017;40,55;240,43
1018;40,57;240,44
1019;40,58;240,45
1020;40,60;240,46
1021;40,61;240,47
1022;40,62;240,47
1023;40,64;240,48
1024;40,65;240,49
1025;40,67;240,50
1026;40,68;240,51
1027;40,70;240,52
1028;40,71;240,52
1029;40,72;240,53
1030;40,74;240,54
1031;40,75;240,55
1032;40,77;240,56
1033;40,78;240,56
1034;40,79;240,57
1035;40,81;240,58
1036;40,82;240,59
1037;40,84;240,60
1038;40,85;240,60
1039;40,86;240,61
1040;40,88;240,62
1041;40,89;240,63
1042;40,91;240,63
1043;40,92;240,64
1044;40,93;240,65
1045;40,95;240,66
1046;40,96;240,66
1047;40,98;240,67
1048;40,99;240,68
1049;41,00;240,69
1050;41,02;240,69
1051;41,03;240,70
1052;41,04;240,71
1053;41,06;240,71
1054;41,07;240,72
1055;41,09;240,73
1056;41,10;240,74
1057;41,11;240,74
1058;41,13;240,75
